,ECO,OIL,SP500,PSE,RATE
2004-08-18,130.12,47.27000045776367,1095.1700439453125,651.5700073242188,1.46
2004-08-25,134.2,43.470001220703125,1104.9599609375,662.3200073242188,1.52
2004-09-01,136.29,44.0,1105.9100341796875,655.989990234375,1.55
2004-09-08,135.06,42.77000045776367,1116.27001953125,654.3900146484375,1.62
2004-09-15,136.7,43.58000183105469,1120.3699951171875,673.739990234375,1.64
2004-09-22,134.26,48.349998474121094,1113.56005859375,676.9199829101562,1.68
2004-09-29,134.54,49.5099983215332,1114.800048828125,676.760009765625,1.69
2004-10-06,143.21,52.02000045776367,1142.050048828125,704.5700073242188,1.68
2004-10-13,142.4,53.63999938964844,1113.6500244140625,679.739990234375,1.69
2004-10-20,143.16,54.91999816894531,1103.6600341796875,686.760009765625,1.79
2004-10-27,143.73,52.459999084472656,1125.4000244140625,709.6199951171875,1.88
2004-11-03,143.36,50.880001068115234,1143.199951171875,721.8900146484375,1.92
2004-11-10,146.84,48.86000061035156,1162.9100341796875,728.9400024414062,2.04
2004-11-17,152.29,46.84000015258789,1181.93994140625,752.0499877929688,2.09
2004-11-24,155.54,49.439998626708984,1181.760009765625,755.2999877929688,2.14
2004-12-01,159.23,45.4900016784668,1191.3699951171875,769.6099853515625,2.18
2004-12-08,151.71,41.939998626708984,1182.81005859375,764.6799926757812,2.2
2004-12-15,158.13,44.189998626708984,1205.719970703125,777.260009765625,2.17
2004-12-22,157.31,44.2400016784668,1209.5699462890625,772.8900146484375,2.15
2004-12-29,163.43,43.63999938964844,1213.449951171875,778.6099853515625,2.19
2005-01-05,154.97,43.38999938964844,1183.739990234375,747.2100219726562,2.29
2005-01-12,152.99,46.369998931884766,1187.699951171875,741.239990234375,2.3
2005-01-19,155.71,47.54999923706055,1184.6300048828125,738.5700073242188,2.33
2005-01-26,153.87,48.779998779296875,1174.0699462890625,731.0399780273438,2.37
2005-02-02,159.58,46.689998626708984,1193.18994140625,747.4600219726562,2.47
2005-02-09,155.13,45.459999084472656,1191.989990234375,744.22998046875,2.47
2005-02-16,156.8,48.33000183105469,1210.3399658203125,758.219970703125,2.53
2005-02-23,156.12,51.16999816894531,1190.800048828125,739.5599975585938,2.63
2005-03-02,165.84,53.04999923706055,1210.0799560546875,748.6799926757812,2.68
2005-03-09,164.6,54.77000045776367,1207.010009765625,743.3699951171875,2.7
2005-03-16,158.32,56.459999084472656,1188.0699462890625,728.8499755859375,2.74
2005-03-23,153.67,53.810001373291016,1172.530029296875,726.2899780273438,2.77
2005-03-30,152.27,53.9900016784668,1181.4100341796875,730.5800170898438,2.77
2005-04-06,154.69,55.849998474121094,1184.0699462890625,722.7899780273438,2.71
2005-04-13,146.73,50.220001220703125,1173.7900390625,714.5399780273438,2.72
2005-04-20,140.6,52.439998626708984,1137.5,691.97998046875,2.81
2005-04-27,139.26,51.61000061035156,1156.3800048828125,702.9600219726562,2.83
2005-05-04,139.73,50.130001068115234,1175.6500244140625,715.6400146484375,2.81
2005-05-11,140.26,50.45000076293945,1171.1099853515625,720.0900268554688,2.81
2005-05-18,139.61,47.25,1185.56005859375,741.6199951171875,2.8
2005-05-25,141.4,50.97999954223633,1190.010009765625,748.2899780273438,2.89
2005-06-01,144.56,54.599998474121094,1202.219970703125,759.6699829101562,2.91
2005-06-08,143.38,52.540000915527344,1194.6700439453125,751.0499877929688,2.96
2005-06-15,152.15,55.56999969482422,1206.5799560546875,757.1400146484375,2.94
2005-06-22,157.32,58.09000015258789,1213.8800048828125,760.780029296875,2.97
2005-06-29,157.62,57.2599983215332,1199.8499755859375,750.52001953125,3.06
2005-07-06,157.11,61.279998779296875,1194.93994140625,751.6699829101562,3.12
2005-07-13,160.42,60.0099983215332,1223.2900390625,784.260009765625,3.15
2005-07-20,164.99,56.720001220703125,1235.199951171875,810.8099975585938,3.23
2005-07-27,170.31,59.11000061035156,1236.7900390625,806.3300170898438,3.33
2005-08-03,172.37,60.86000061035156,1245.0400390625,812.2899780273438,3.38
2005-08-10,166.69,64.9000015258789,1229.1300048828125,793.5900268554688,3.43
2005-08-17,164.37,63.25,1220.239990234375,799.3900146484375,3.44
2005-08-24,171.11,67.31999969482422,1209.5899658203125,794.6699829101562,3.45
2005-08-31,183.82,68.94000244140625,1220.3299560546875,808.6099853515625,3.44
2005-09-07,187.43,64.37000274658203,1236.3599853515625,820.260009765625,3.41
2005-09-14,191.79,65.08999633789062,1227.1600341796875,819.969970703125,3.35
2005-09-21,182.02,66.80000305175781,1210.199951171875,800.6900024414062,3.34
2005-09-28,182.84,66.3499984741211,1216.8900146484375,803.1699829101562,3.39
