Dependent,LECO,LOIL,LPSE,LRATE
LECO,,0.05867806377423885,0.6075685351262428,0.37938461351181885
LOIL,0.0047340085713005004,,0.0009530356210469539,1.809630552226102e-05
LPSE,0.0879074857232231,0.02897706231413557,,0.17149015668070647
LRATE,0.007338736692227902,9.840289203214463e-05,0.0513220915087439,
