Lag,LR Statistic,p-value,Significant
2,234.85221598197023,6.529196247124447e-41,True
3,9.81631347880046,0.8760431121860823,False
4,50.42128656838554,1.9637925226322794e-05,True
5,43.18314832983086,0.0002622420350044973,True
6,87.17677853780674,8.257794802684338e-12,True
7,23.17461390053211,0.10914579785626939,False
8,31.486468689519583,0.011654934902545417,True
9,35.76008924673374,0.0031237091847180704,True
10,25.698168490839272,0.0584259140144915,False
11,11.770894183930949,0.759594785398249,False
12,25.830482501803097,0.056460619015964025,False
13,24.896107995379516,0.0716780324966046,False
14,21.387704780349935,0.1640844610502145,False
15,23.555069104590103,0.09968269351196195,False
