Dependent,LECO,LOIL,LOTECH,LRATE
LECO,,24.45581481870297,21.05957283908237,12.391714752131158
LOIL,26.221723552208378,,11.871558677633365,38.545945336126074
LOTECH,33.3502146849615,25.897664685825077,,35.03222242670278
LRATE,31.278606954105783,44.20079024835076,29.658032702685674,
