Date,ECO,OIL,SP500,PSE,RATE,LECO,LRATE,LPSE,LOIL,LSP500,LOTECH
2004-08-18,130.12,47.27000045776367,1095.1700439453125,651.5700073242188,1.46,4.86845710160515,0.37843643572024505,6.479384846393217,3.855875854489166,6.998664921468418,-0.2089826000444619
2004-08-25,134.2,43.470001220703125,1104.9599609375,662.3200073242188,1.52,4.8993312245375815,0.41871033485818504,6.495748833888979,3.772071073082208,7.007564378849668,-0.20470780784838194
2004-09-01,136.29,44.0,1105.9100341796875,655.989990234375,1.55,4.914784968439421,0.4382549309311553,6.48614553003861,3.784189633918261,7.008423835355721,-0.21547861406525914
2004-09-08,135.06,42.77000045776367,1116.27001953125,654.3900146484375,1.62,4.905719124146696,0.4824261492442928,6.483703526383058,3.7558369329417323,7.017748066660344,-0.23058683414637393
2004-09-15,136.7,43.58000183105469,1120.3699951171875,673.739990234375,1.64,4.917788743729904,0.494696241836107,6.512844265317853,3.7745983715324134,7.021414262517877,-0.20642632668299132
2004-09-22,134.26,48.349998474121094,1113.56005859375,676.9199829101562,1.68,4.899778218510606,0.5187937934151675,6.51755307229341,3.878466190340277,7.015317422013206,-0.1934354534628948
2004-09-29,134.54,49.5099983215332,1114.800048828125,676.760009765625,1.69,4.90186155259746,0.5247285289349821,6.517316719320563,3.9021746354717597,7.016430339407689,-0.19518361498293046
2004-10-06,143.21,52.02000045776367,1142.050048828125,704.5700073242188,1.68,4.9643120844906115,0.5187937934151675,6.557587698047149,3.9516282688202686,7.040580214849447,-0.18771829486801295
2004-10-13,142.4,53.63999938964844,1113.6500244140625,679.739990234375,1.69,4.958639998977875,0.5247285289349821,6.521710357746746,3.982295047034813,7.015398209920057,-0.18938791186718174
2004-10-20,143.16,54.91999816894531,1103.6600341796875,686.760009765625,1.79,4.963962885897825,0.5822156198526637,6.531984900428863,4.005877547559371,7.006387239359135,-0.16687269222197632
2004-10-27,143.73,52.459999084472656,1125.4000244140625,709.6199951171875,1.88,4.967936539563141,0.6312717768418578,6.564729608610197,3.9600509569868145,7.025893828692854,-0.16062611285721928
2004-11-03,143.36,50.880001068115234,1143.199951171875,721.8900146484375,1.92,4.96535894922662,0.6523251860396901,6.581872793006839,3.9294699400246973,7.041586583903861,-0.1648002711263965
2004-11-10,146.84,48.86000061035156,1162.9100341796875,728.9400024414062,2.04,4.989343558628634,0.712949807856125,6.591591427443961,3.88895907832144,7.058680792845216,-0.17830274125020917
