Dependent,LECO,LOIL,LPSE,LRATE
LECO,,16.416452750268903,7.284083436737944,9.652005386218011
LOIL,23.738757937050465,,28.00226696920099,37.90935014200231
LPSE,15.111911018374652,18.583456748466674,,12.807959652818296
LRATE,22.531521060444355,33.75990949644874,16.83751636320517,
