,ECO Model 1,ECO Model 2,PSE Model 1,PSE Model 2
Constant,-0.0034461694825635384,-0.0033923865254081535,0.0006200289560043093,0.0006050231109801002
Market,1.7179186959016648,1.646976764035977,1.0641246937018214,1.0781125131846847
Oil,,0.07239719617553173,,-0.016633166292200952
Rate,,0.014891134601467907,,-6.524859649003744e-05
Adjusted R-squared,0.546621559746252,0.5523996682864062,0.8639046832748776,0.8648603608422692
Durbin-Watson,2.074539390899716,2.083745197413507,2.1764905491669633,2.172235289907881
F-test p-value,7.8240370006201135e-140,8.023186860445735e-147,0.0,0.0
